year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_nm,max_torque_rpm,brand
2012,40000,Petrol,Individual,Manual,Second Owner,16.2,995,62.1,5,90.3,4200.0,Chevrolet
2013,120000,Diesel,Individual,Manual,Second Owner,19.369999,1248,81.86,5,160.0,3000.0,Tata
2012,1500000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,330.0,2800.0,Mahindra
2011,70000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2012,77000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti
2011,110000,Petrol,Individual,Manual,Second Owner,18.0,995,62.0,5,90.3,4200.0,Chevrolet
2016,20000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,90.0,3500.0,Maruti
1995,90000,Diesel,Individual,Manual,Third Owner,19.369999,1248,81.86,5,160.0,3000.0,Mahindra
2005,120005,Diesel,Individual,Automatic,Second Owner,11.0,2987,198.5,5,456.01,2800.0,Mercedes-Benz
2012,16830,Petrol,Individual,Manual,First Owner,20.2,998,67.1,5,90.0,3500.0,Maruti
2013,70000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,180.0,1500.0,Mahindra
2017,38000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,91.0,4250.0,Renault
2013,80000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,180.0,1500.0,Mahindra
2018,50000,Diesel,Individual,Manual,First Owner,14.24,2755,174.5,7,420.0,2600.0,Toyota
2007,50000,Diesel,Individual,Manual,First Owner,17.88,1396,52.8,5,85.0,2500.0,Tata
2013,52000,Diesel,Individual,Manual,First Owner,17.21,1493,100.0,7,240.0,2800.0,Mahindra
2012,50000,Diesel,Individual,Manual,First Owner,17.0,1405,70.0,5,132.39,2500.0,Tata
2016,30000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,74.5,4000.0,Hyundai
2014,103000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,195.0,2200.0,Mahindra
2010,80000,Petrol,Individual,Manual,Second Owner,14.0,1595,102.0,5,147.1,3800.0,Volkswagen
2012,35000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5,140.0,3000.0,Tata
2018,60000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,7,450.0,2400.0,Toyota
2018,30000,Diesel,Individual,Manual,First Owner,16.0,1997,140.0,7,320.0,2800.0,Mahindra
2015,40000,Petrol,Individual,Automatic,First Owner,17.01,1499,110.4,5,136.0,4250.0,Ford
2011,70000,Diesel,Individual,Manual,First Owner,19.0,1248,90.0,5,200.0,3000.0,Tata
2010,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5,200.0,3000.0,Tata
2008,120000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,8,290.0,2800.0,Mahindra
2012,90000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5,140.0,3000.0,Tata
2018,30000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,59.0,2500.0,Maruti
2018,70000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,5,219.7,2750.0,Hyundai
2016,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0,Maruti
2017,70000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,135.0,2500.0,Tata
2016,65000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5,145.0,4600.0,Honda
2017,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,114.0,3500.0,Tata
2019,10000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,101.0,3000.0,Maruti
2014,80000,Petrol,Individual,Automatic,Second Owner,11.07,2496,179.5,5,228.0,4400.0,Nissan
2010,63000,Petrol,Individual,Manual,First Owner,18.6,1199,79.4,5,108.0,4400.0,Chevrolet
2008,100000,Diesel,Individual,Manual,First Owner,16.8,1405,62.0,5,122.58,2500.0,Tata
2018,16589,Petrol,Trustmark Dealer,Manual,First Owner,20.51,998,67.04,5,90.0,3500.0,Maruti
2016,53201,Petrol,Trustmark Dealer,Manual,Second Owner,17.8,1497,117.3,5,145.0,4600.0,Honda
2017,25272,Petrol,Trustmark Dealer,Manual,First Owner,21.01,1197,81.8,5,113.0,4200.0,Maruti
2017,53619,Diesel,Trustmark Dealer,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti
2018,6001,Petrol,Dealer,Manual,First Owner,15.9,1496,120.69,5,149.0,4500.0,Ford
2013,80000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,135.0,2500.0,Tata
2018,12000,Diesel,Individual,Manual,First Owner,19.6,1461,108.45,5,245.0,1750.0,Renault
2017,40000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5,219.7,2750.0,Hyundai
2010,130000,Diesel,Individual,Manual,Third Owner,17.8,1248,75.0,5,190.0,2000.0,Maruti
2011,202000,Diesel,Individual,Manual,First Owner,17.67,1968,138.08,5,320.0,2500.0,Skoda
2018,40000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,200.0,1750.0,Maruti
2000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0,5,78.0,4500.0,Maruti
2008,120000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5,124.54,2700.0,Honda
2015,60000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,190.0,2000.0,Maruti
2006,120000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2003,90000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,4,59.0,2500.0,Maruti
2006,100000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2004,160000,Diesel,Individual,Manual,Third Owner,13.1,1493,82.0,5,187.0,2500.0,Hyundai
2005,100000,Diesel,Individual,Manual,Third Owner,13.1,1493,82.0,5,187.0,2500.0,Hyundai
2013,60000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,200.0,1750.0,Maruti
2010,135000,Diesel,Individual,Manual,Third Owner,18.3,1991,147.9,5,327.0,2600.0,Chevrolet
2016,90000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0,Maruti
2013,75000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5,180.0,2000.0,Volkswagen
2005,185000,Diesel,Individual,Manual,Second Owner,11.4,2494,100.6,7,200.0,3400.0,Toyota
2015,71717,Petrol,Individual,Automatic,Second Owner,19.34,1198,76.0,5,104.0,4400.0,Nissan
2011,150000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8,290.0,2800.0,Mahindra
2016,55000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,190.0,2000.0,Maruti
2012,90000,Petrol,Individual,Manual,Second Owner,15.3,1596,99.6,5,146.0,3400.0,Ford
2018,35000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,91.0,4250.0,Renault
2015,120000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7,343.0,3400.0,Toyota
2011,100000,LPG,Individual,Manual,Second Owner,13.45,1086,62.1,5,96.1,3000.0,Hyundai
2009,40000,Petrol,Individual,Automatic,Third Owner,12.9,1799,130.0,5,172.0,4300.0,Honda
2010,100000,Diesel,Individual,Manual,First Owner,13.0,2489,95.0,8,220.0,2600.0,Mahindra
2016,120000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,5,320.0,3000.0,Tata
2014,60000,Petrol,Individual,Manual,First Owner,19.0,998,67.1,5,90.0,3500.0,Maruti
2019,2000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,180.0,1500.0,Mahindra
2012,100000,Diesel,Individual,Manual,First Owner,14.0,2523,75.0,8,200.0,2200.0,Mahindra
2015,110000,Diesel,Individual,Manual,First Owner,14.95,2489,93.7,7,218.0,2600.0,Mahindra
2011,84321,Diesel,Individual,Manual,First Owner,23.57,1396,70.0,5,140.0,3000.0,Tata
2013,177000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,330.0,2800.0,Mahindra
2010,60000,Diesel,Individual,Manual,First Owner,18.0,1248,75.0,5,190.0,1750.0,Tata
2008,205000,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,5,135.0,2500.0,Tata
2008,70000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,111.8,4000.0,Hyundai
2011,70000,Petrol,Individual,Manual,Third Owner,19.369999,1248,81.86,5,160.0,3000.0,Maruti
2013,126000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5,248.0,2250.0,Renault
2016,120000,Diesel,Individual,Automatic,Second Owner,10.91,3198,197.0,7,470.0,2500.0,Ford
2015,70000,Diesel,Individual,Manual,First Owner,19.1,1405,70.0,5,135.4,2500.0,Tata
2017,82000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7,240.0,2800.0,Mahindra
2004,110000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,4,59.0,2500.0,Maruti
2015,45000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5,115.0,4000.0,Maruti
2012,70000,Diesel,Individual,Manual,Second Owner,21.64,1461,84.8,5,200.0,2000.0,Nissan
2015,80000,Diesel,Individual,Manual,Second Owner,20.45,1461,83.8,5,200.0,1900.0,Nissan
2017,45000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,7,280.0,2800.0,Mahindra
2017,60000,Petrol,Individual,Manual,First Owner,20.3,998,68.05,5,94.14,3500.0,Hyundai
2013,41800,Petrol,Individual,Manual,First Owner,18.6,1197,85.8,5,114.0,4000.0,Maruti
2010,132000,Petrol,Individual,Manual,Second Owner,19.369999,1248,81.86,5,160.0,3000.0,Maruti
2017,50000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.02,5,190.0,2000.0,Maruti
2012,40000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,160.0,2000.0,Ford
2009,96000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5,84.0,3500.0,Maruti
2012,117000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,8,260.0,2200.0,Mahindra
2011,110000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5,99.04,4500.0,Hyundai
2014,100000,Diesel,Individual,Manual,Second Owner,25.8,1498,98.6,5,200.0,1750.0,Honda
2007,88700,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2012,70000,Petrol,Individual,Manual,Second Owner,16.95,1498,97.7,5,134.0,4000.0,Nissan
2010,110000,Petrol,Individual,Manual,Second Owner,17.3,1061,64.0,5,84.34,3500.0,Maruti
2016,15000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,69.0,3500.0,Maruti
2012,80000,Diesel,Individual,Manual,Second Owner,20.8,1461,65.0,5,160.0,2000.0,Mahindra
2014,50000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5,114.0,4000.0,Maruti
2018,15000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,74.5,4000.0,Hyundai
2017,25000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5,72.0,4386.0,Datsun
2011,57000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5,160.0,2000.0,Mahindra
2012,75000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,195.0,2200.0,Mahindra
2013,26000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,101.0,3000.0,Maruti
2015,160000,Diesel,Individual,Manual,First Owner,24.4,1120,71.01,5,180.4,2500.0,Hyundai
2010,120000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2014,50000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2012,40000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2011,90000,Diesel,Individual,Manual,Third Owner,19.369999,1248,81.86,5,160.0,3000.0,Toyota
2005,120000,Petrol,Individual,Manual,Third Owner,19.369999,1248,81.86,5,160.0,3000.0,Maruti
2017,28000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5,145.0,4600.0,Honda
2018,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,190.0,2000.0,Maruti
2016,40000,Diesel,Individual,Manual,First Owner,24.8,1396,88.7,5,219.7,2750.0,Hyundai
2017,113000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5,215.0,3000.0,Ford
2011,188000,Diesel,Individual,Manual,Second Owner,17.8,1248,75.0,5,190.0,2000.0,Maruti
2011,100000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,160.0,2000.0,Ford
2017,67000,Diesel,Individual,Manual,Second Owner,18.49,1493,100.0,7,240.0,2800.0,Mahindra
2011,70000,Diesel,Individual,Manual,Fourth & Above Owner,25.44,936,57.6,5,150.0,1750.0,Chevrolet
2015,50000,Petrol,Individual,Manual,First Owner,14.28,1798,138.03,5,173.0,4000.0,Toyota
2013,60000,Diesel,Individual,Automatic,First Owner,16.36,2179,187.7,5,450.0,2000.0,Jaguar
2017,34000,Diesel,Individual,Automatic,First Owner,22.0,1498,108.495,5,250.0,3000.0,Volkswagen
2004,110000,Petrol,Individual,Manual,Third Owner,12.8,1493,100.0,5,128.47,4600.0,Honda
2001,71000,Petrol,Individual,Manual,Second Owner,19.369999,1248,81.86,5,160.0,3000.0,Hyundai
2012,100000,Petrol,Individual,Manual,Second Owner,16.8,1497,116.3,5,146.0,4800.0,Honda
2017,10000,Petrol,Individual,Automatic,First Owner,18.9,1197,81.86,5,113.75,4000.0,Hyundai
2018,30000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5,90.0,3500.0,Maruti
2017,22000,Diesel,Dealer,Automatic,First Owner,15.73,1968,174.33,5,380.0,2500.0,Audi
2020,5500,Diesel,Dealer,Manual,First Owner,26.8,1597,118.0,5,300.0,2000.0,Honda
2018,18000,Diesel,Dealer,Automatic,First Owner,19.62,1998,190.0,5,400.0,2500.0,BMW
2018,20000,Diesel,Dealer,Automatic,First Owner,11.36,2755,171.5,8,360.0,3400.0,Toyota
2018,7000,Petrol,Dealer,Manual,First Owner,20.3,1086,68.0,5,99.0,4500.0,Hyundai
2018,20000,Diesel,Dealer,Manual,First Owner,17.0,2596,80.8,5,230.0,2000.0,Force
2019,4875,Petrol,Dealer,Manual,First Owner,21.63,998,67.04,5,90.0,3500.0,Maruti
2020,2700,Diesel,Dealer,Automatic,First Owner,17.01,1582,126.2,5,259.9,2750.0,Hyundai
2015,105000,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,5,215.0,3000.0,Ford
2018,26235,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,6,247.0,2000.0,Mahindra
2017,26766,Diesel,Dealer,Manual,First Owner,21.5,1497,108.5,5,260.0,2750.0,Tata
2020,1600,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5,250.0,3600.0,MG
2018,46000,Diesel,Dealer,Manual,First Owner,15.8,2148,170.0,5,411.88,2000.0,Mercedes-Benz
2019,23000,Diesel,Dealer,Manual,First Owner,17.3,1497,121.0,7,300.0,2500.0,Mahindra
2017,24522,Petrol,Dealer,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0,Maruti
2017,13663,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5,400.0,2500.0,BMW
2019,11000,Diesel,Dealer,Automatic,First Owner,19.3,1968,141.0,5,320.0,3000.0,Skoda
2016,63000,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti
2019,2000,Petrol,Dealer,Manual,First Owner,16.2,1199,74.0,5,110.0,4300.0,Volkswagen
2014,300000,Diesel,Individual,Manual,Third Owner,12.05,2179,120.0,8,290.0,2800.0,Mahindra
2011,190000,Diesel,Individual,Manual,Third Owner,19.2,1461,65.0,5,156.91,2000.0,Mahindra
2015,80000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5,200.0,1750.0,Honda
2015,54000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5,90.0,3500.0,Maruti
2019,5000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,7,101.0,3000.0,Maruti
2015,58945,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7,240.0,2800.0,Mahindra
2012,90000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,160.0,2000.0,Ford
2013,160000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7,200.0,1750.0,Maruti
2014,80000,Diesel,Individual,Manual,Second Owner,15.11,1598,103.6,5,250.0,2500.0,Volkswagen
2004,50000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,4,59.0,2500.0,Maruti
2015,156975,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,9,195.0,2200.0,Mahindra
2017,5000,Diesel,Individual,Manual,First Owner,21.43,1364,86.79,5,205.0,2800.0,Toyota
2014,50000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5,108.5,5000.0,Chevrolet
2013,120000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9,290.0,2800.0,Mahindra
2009,120000,Diesel,Individual,Manual,Third Owner,14.0,2498,112.0,8,260.0,2200.0,Mahindra
2015,58000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5,114.73,4000.0,Hyundai
2012,50000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5,134.0,4000.0,Nissan
2017,40000,Petrol,Individual,Automatic,First Owner,20.89,1197,81.8,5,113.0,4200.0,Maruti
2018,7800,Petrol,Individual,Manual,First Owner,17.5,1199,88.7,5,110.0,4800.0,Honda
2016,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,69.0,3500.0,Maruti
2011,68000,Diesel,Individual,Manual,First Owner,13.1,2499,141.0,7,330.0,1800.0,Ford
2015,60000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7,130.0,4000.0,Maruti
2005,74000,Petrol,Individual,Manual,Second Owner,12.8,1396,85.0,5,117.68,3500.0,Tata
2011,58000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,7,320.0,2700.0,Tata
2011,70000,Petrol,Individual,Manual,Third Owner,19.0,998,66.1,5,90.0,3500.0,Maruti
2015,70000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,112.0,4000.0,Ford
2002,80000,Petrol,Individual,Manual,Third Owner,19.369999,1248,81.86,5,160.0,3000.0,Hyundai
2016,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,219.7,2750.0,Hyundai
2018,110000,Diesel,Individual,Manual,First Owner,25.0,1396,69.0,5,140.0,3000.0,Tata
2020,25000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5,90.0,3500.0,Maruti
2014,55000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,69.0,3500.0,Maruti
2015,25000,Diesel,Individual,Manual,First Owner,27.62,793,47.0,5,125.0,2000.0,Maruti
2016,143200,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5,215.0,3000.0,Ford
2017,60000,Diesel,Individual,Manual,First Owner,17.1,1956,170.0,5,350.0,2500.0,Jeep
2012,120000,Diesel,Individual,Manual,First Owner,23.08,1461,63.1,5,160.0,2000.0,Nissan
2014,145000,Diesel,Individual,Manual,Second Owner,26.21,1248,88.5,5,200.0,1750.0,Maruti
2019,8000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5,113.75,4000.0,Hyundai
2012,170000,Diesel,Individual,Manual,First Owner,13.1,2499,141.0,7,330.0,1800.0,Ford
2013,100000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,190.0,2000.0,Maruti
2012,62000,Petrol,Individual,Manual,First Owner,14.0,796,35.0,5,59.82,3000.0,Maruti
2014,110000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,330.0,2800.0,Mahindra
2007,137000,CNG,Individual,Manual,First Owner,19.369999,1248,81.86,5,160.0,3000.0,Hyundai
2015,80000,Diesel,Individual,Manual,Second Owner,13.58,2499,72.4,9,171.0,1800.0,Chevrolet
2002,80000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5,78.0,4500.0,Maruti
2013,100000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,190.0,2000.0,Maruti
2015,120000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,180.0,1500.0,Mahindra
2019,24000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,190.0,2000.0,Maruti
2017,80000,Diesel,Individual,Manual,First Owner,25.32,1198,77.0,6,190.0,2250.0,Mahindra
2012,138000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5,259.8,2750.0,Hyundai
2003,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998,67.1,5,90.0,3500.0,Maruti
2017,60000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7,240.0,2800.0,Mahindra
2011,80000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5,90.3,4200.0,Chevrolet
2013,189000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5,200.0,3000.0,Tata
2014,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498,103.2,5,250.0,2500.0,Volkswagen
2014,56000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5,219.6,2750.0,Hyundai
2012,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995,184.0,5,380.0,2750.0,BMW
2016,60000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5,90.0,3500.0,Maruti
2012,130000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,330.0,2800.0,Mahindra
2013,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995,184.0,5,380.0,2750.0,BMW
2015,35000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,5,200.0,1900.0,Nissan
2011,156000,Diesel,Individual,Manual,First Owner,11.57,2179,138.1,7,320.0,2700.0,Tata
2013,90000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,69.0,3500.0,Maruti
2008,60000,Diesel,Individual,Manual,Third Owner,17.0,1405,70.0,5,132.39,2500.0,Tata
2016,36000,Diesel,Individual,Manual,First Owner,19.01,1461,108.5,5,248.0,2250.0,Nissan
2011,160000,Diesel,Individual,Manual,First Owner,13.93,2179,138.0,7,320.0,2700.0,Tata
2006,185000,Diesel,Individual,Manual,First Owner,12.7,2609,116.6,9,277.53,2200.0,Mahindra
2010,110000,Diesel,Individual,Manual,Second Owner,17.0,1405,71.0,5,135.0,2500.0,Tata
2018,10800,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,72.0,4386.0,Renault
2019,15000,Petrol,Individual,Manual,First Owner,20.89,1197,81.8,5,113.0,4200.0,Maruti
2012,67500,Diesel,Individual,Manual,First Owner,12.2,1948,68.0,10,1127.76,2500.0,Tata
2017,30000,Diesel,Individual,Manual,First Owner,17.6,2179,153.86,7,400.0,2500.0,Tata
2016,50000,Diesel,Individual,Manual,First Owner,25.32,1198,77.0,6,190.0,2250.0,Mahindra
2016,100000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7,240.0,2800.0,Mahindra
2016,150000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,180.0,1500.0,Mahindra
2012,30000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,69.0,3500.0,Maruti
2011,60000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2010,255000,Diesel,Individual,Manual,Second Owner,13.0,2489,95.0,8,220.0,2600.0,Mahindra
2008,120000,Diesel,Individual,Manual,Second Owner,16.52,1991,123.7,5,305.0,2000.0,Chevrolet
2015,49900,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5,69.0,3500.0,Maruti
2015,71850,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5,104.0,4000.0,Datsun
2015,95000,Diesel,Individual,Manual,Third Owner,21.2,1248,75.0,5,197.0,1750.0,Fiat
2008,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.5,1298,85.8,5,114.0,4000.0,Maruti
2011,35000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,74.5,4000.0,Hyundai
2015,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,115.0,4000.0,Maruti
2007,120000,Diesel,Individual,Manual,Third Owner,13.6,2523,63.0,7,180.0,1500.0,Mahindra
2015,145000,Diesel,Individual,Manual,First Owner,22.7,1582,126.2,5,259.88,2750.0,Hyundai
2018,40000,Diesel,Individual,Manual,First Owner,16.0,2179,138.0,7,330.0,2800.0,Mahindra
2015,110000,Diesel,Individual,Manual,First Owner,27.39,1248,74.0,5,190.0,2000.0,Maruti
2008,112000,LPG,Individual,Manual,Second Owner,17.3,1061,57.5,5,76.49,4500.0,Maruti
2017,70000,Diesel,Individual,Automatic,First Owner,20.38,1968,143.0,5,320.0,3000.0,Audi
2016,110000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,5,190.0,2000.0,Maruti
2018,29000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,5,190.24,2250.0,Hyundai
2002,120000,Petrol,Individual,Manual,Fourth & Above Owner,19.369999,1248,81.86,5,160.0,3000.0,Hyundai
2012,120000,Diesel,Individual,Automatic,Third Owner,11.79,2179,120.0,8,290.0,2800.0,Mahindra
2012,159000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,7,200.06,3400.0,Toyota
2012,110000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7,195.0,2200.0,Mahindra
2010,75000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2010,120000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti
2010,110000,Petrol,Individual,Manual,Third Owner,17.0,1497,118.0,5,146.0,4800.0,Honda
2009,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0,995,62.0,5,90.3,4200.0,Chevrolet
2011,85000,Diesel,Individual,Manual,First Owner,19.369999,1248,81.86,5,160.0,3000.0,Maruti
2014,71000,Diesel,Dealer,Manual,First Owner,21.64,1461,84.8,5,200.0,2000.0,Nissan
2011,108000,Diesel,Dealer,Manual,First Owner,16.0,2179,140.0,7,330.0,2800.0,Mahindra
2015,75000,Diesel,Dealer,Manual,First Owner,19.87,1461,83.8,5,200.0,1750.0,Renault
2018,22000,Petrol,Individual,Manual,Second Owner,21.56,1462,103.25,5,138.0,4400.0,Maruti
2014,76131,Diesel,Individual,Automatic,First Owner,13.22,2967,241.4,5,580.0,3250.0,Audi
2018,30000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5,114.7,4000.0,Hyundai
2014,65000,Diesel,Individual,Automatic,First Owner,12.07,2967,241.4,7,550.0,2750.0,Audi
2018,60000,Diesel,Individual,Manual,First Owner,15.4,2523,75.0,7,200.0,2200.0,Mahindra
2013,80000,Diesel,Individual,Manual,First Owner,22.07,1199,73.9,5,180.0,2000.0,Volkswagen
2005,80000,Petrol,Individual,Automatic,Second Owner,9.0,2997,218.0,5,196.0,5000.0,Honda
2012,70000,Diesel,Individual,Automatic,First Owner,12.07,2967,241.4,7,550.0,2750.0,Audi
2017,51777,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti
2013,64788,Diesel,Dealer,Automatic,First Owner,0.0,2179,115.0,5,160.0,3000.0,Land
2018,20000,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,5,110.0,4800.0,Honda
2018,19000,Petrol,Individual,Manual,First Owner,18.78,999,75.0,5,95.0,4300.0,Volkswagen
2000,46951,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5,71.0,3500.0,Daewoo
